month,day,black-four,green-four,black,green,yellow,blue,black-weekly,black-twice,green-weekly,green-twice
01,1,,,,,,,,,,
01,2,l,fq,al,fq,a,a,v,,v,
01,3,b,r,bm,gr,b,b,w,vwyz,w,vx
01,4,n,h,cn,h,c,c,x,,x,
01,5,d,it,do,it,d,d,y,,y,
01,6,,,,,,,,,,
01,7,p,ku,ep,ku,e,e,z,vwyz,,vx
01,8,q,al,fq,al,f,f,v,,v,
01,9,g,m,gr,bm,g,g,w,vwyz,w,vx
01,10,s,c,hs,cn,h,h,x,,x,
01,11,i,,it,d,i,i,y,,y,
01,12,u,ep,ku,ep,k,k,z,vwyz,,vx
01,13,,,,,,,,,,
01,14,a,q,al,fq,a,l,v,,v,
01,15,m,g,bm,gr,b,m,w,vwyz,w,vx
01,16,c,,cn,h,c,n,x,,x,
01,17,o,i,do,it,d,o,y,,y,
01,18,e,u,ep,ku,e,p,z,vwyz,,vx
01,19,,,,,,,,,,
01,20,,,,,,,,,,
01,21,f,l,fq,al,f,q,v,,v,
01,22,r,b,gr,bm,g,r,w,vwyz,w,vx
01,23,h,,hs,c,h,s,x,,x,
01,24,t,d,it,d,i,t,y,,y,
01,25,k,p,ku,ep,k,u,z,vwyz,,vx
01,26,,,,,,,,,,
01,27,,,,,,,,,,
01,28,l,f,al,fq,a,a,v,,v,
01,29,b,r,bm,gr,b,b,w,vwyz,w,vx
01,30,n,h,cn,h,c,c,x,,x,
01,31,d,t,do,it,d,d,y,,y,
02,1,p,k,ep,ku,e,e,z,vwyz,,vx
02,2,,,,,,,,,,
02,3,,,,,,,,,,
02,4,q,a,fq,al,f,f,v,,v,
02,5,g,m,gr,bm,g,g,w,vwyz,w,vx
02,6,s,c,hs,c,h,h,x,,x,
02,7,i,,it,d,i,i,y,,y,
02,8,u,e,ku,ep,k,k,z,vwyz,,vx
02,9,,,,,,,,,,
02,10,,,,,,,,,,
02,11,a,q,al,fq,a,l,v,,v,
02,12,m,g,bm,gr,b,m,w,vwyz,w,vx
02,13,c,,cn,h,c,n,x,,x,
02,14,o,i,do,it,d,o,y,,y,
02,15,e,u,ep,ku,e,p,z,vwyz,,vx
02,16,,,,,,,,,,
02,17,,,,,,,,,,
02,18,f,l,fq,al,f,q,v,,v,
02,19,r,b,gr,bm,g,r,w,vwyz,w,vx
02,20,h,,hs,c,h,s,x,,x,
02,21,t,d,it,d,i,t,y,,y,
02,22,k,p,ku,ep,k,u,z,vwyz,,vx
02,23,,,,,,,,,,
02,24,,,,,,,,,,
02,25,l,f,al,fq,a,a,v,,v,
02,26,b,r,bm,gr,b,b,w,vwyz,w,vx
02,27,n,h,cn,h,c,c,x,,x,
02,28,d,t,do,it,d,d,y,,y,
03,1,p,k,ep,ku,e,e,z,vwyz,,vx
03,2,,,,,,,,,,
03,3,,,,,,,,,,
03,4,q,a,fq,al,f,f,v,,v,
03,5,g,m,gr,bm,g,g,w,vwyz,w,vx
03,6,s,c,hs,c,h,h,x,,x,
03,7,i,,it,d,i,i,y,,y,
03,8,u,e,ku,ep,k,k,z,vwyz,,vx
03,9,,,,,,,,,,
03,10,,,,,,,,,,
03,11,a,q,al,fq,a,l,v,,v,
03,12,m,g,bm,gr,b,m,w,vwyz,w,vx
03,13,c,,cn,h,c,n,x,,x,
03,14,o,i,do,it,d,o,y,,y,
03,15,e,u,ep,ku,e,p,z,vwyz,,vx
03,16,,,,,,,,,,
03,17,,,,,,,,,,
03,18,f,l,fq,al,f,q,v,,v,
03,19,r,b,gr,bm,g,r,w,vwyz,w,vx
03,20,h,,hs,c,h,s,x,,x,
03,21,t,d,it,d,i,t,y,,y,
03,22,k,p,ku,ep,k,u,z,vwyz,,vx
03,23,,,,,,,,,,
03,24,,,,,,,,,,
03,25,l,f,al,fq,a,a,v,,v,
03,26,b,r,bm,gr,b,b,w,vwyz,w,vx
03,27,n,h,cn,h,c,c,x,,x,
03,28,d,t,do,it,d,d,y,,y,
03,29,p,k,ep,ku,e,e,z,vwyz,,vx
03,30,,,,,,,,,,
03,31,,,,,,,,,,
04,1,q,a,fq,al,f,f,v,,v,
04,2,g,m,gr,bm,g,g,w,vwyz,w,vx
04,3,s,c,hs,c,h,h,x,,x,
04,4,i,,it,d,i,i,y,,y,
04,5,u,e,ku,ep,k,k,z,vwyz,,vx
04,6,,,,,,,,,,
04,7,,,,,,,,,,
04,8,a,q,al,fq,a,l,v,,v,
04,9,m,g,bm,gr,b,m,w,vwyz,w,vx
04,10,c,,cn,h,c,n,x,,x,
04,11,o,i,do,it,d,o,y,,y,
04,12,e,u,ep,ku,e,p,z,vwyz,,vx
04,13,,,,,,,,,,
04,14,,,,,,,,,,
04,15,f,l,fq,al,f,q,v,,v,
04,16,r,b,gr,bm,g,r,w,vwyz,w,vx
04,17,h,,hs,c,h,s,x,,x,
04,18,t,d,it,d,i,t,y,,y,
04,19,,,,,,,,,,
04,20,k,p,ku,ep,k,u,z,vwyz,,vx
04,21,,,,,,,,,,
04,22,l,f,al,fq,,,,,,
04,23,b,r,bm,gr,a,a,v,,v,
04,24,n,h,cn,h,b,b,w,vwyz,w,vx
04,25,d,t,do,it,c,c,x,,x,
04,26,p,k,ep,ku,d,d,y,,y,
04,27,,,,,e,e,z,vwyz,,vx
04,28,,,,,,,,,,
04,29,q,a,fq,al,f,f,v,,v,
04,30,g,m,gr,bm,g,g,w,vwyz,w,vx
05,1,,,,,,,,,,
05,2,s,c,hs,c,h,h,x,,x,
05,3,i,,it,d,i,i,y,,y,
05,4,u,e,ku,ep,k,k,z,vwyz,,vx
05,5,,,,,,,,,,
05,6,a,q,al,fq,a,l,v,,v,
05,7,m,g,bm,gr,b,m,w,vwyz,w,vx
05,8,c,,cn,h,c,n,x,,x,
05,9,o,i,do,it,d,o,y,,y,
05,10,e,u,ep,ku,e,p,z,vwyz,,vx
05,11,,,,,,,,,,
05,12,,,,,,,,,,
05,13,f,l,fq,al,f,q,v,,v,
05,14,r,b,gr,bm,g,r,w,vwyz,w,vx
05,15,h,,hs,c,h,s,x,,x,
05,16,t,d,it,d,i,t,y,,y,
05,17,k,p,ku,ep,k,u,z,vwyz,,vx
05,18,,,,,,,,,,
05,19,,,,,,,,,,
05,20,l,f,al,fq,a,a,v,,v,
05,21,b,r,bm,gr,b,b,w,vwyz,w,vx
05,22,n,h,cn,h,c,c,x,,x,
05,23,d,t,do,it,d,d,y,,y,
05,24,p,k,ep,ku,e,e,z,vwyz,,vx
05,25,,,,,,,,,,
05,26,,,,,,,,,,
05,27,q,a,fq,al,f,f,v,,v,
05,28,g,m,gr,bm,g,g,w,vwyz,w,vx
05,29,s,c,hs,c,h,h,x,,x,
05,30,,,,,,,,,,
05,31,i,,it,d,i,i,y,,y,
06,1,u,e,ku,ep,k,k,z,vwyz,,vx
06,2,,,,,,,,,,
06,3,a,q,al,fq,a,l,v,,v,
06,4,m,g,bm,gr,b,m,w,vwyz,w,vx
06,5,c,,cn,h,c,n,x,,x,
06,6,o,i,do,it,d,o,y,,y,
06,7,e,u,ep,ku,e,p,z,vwyz,,vx
06,8,,,,,,,,,,
06,9,,,,,,,,,,
06,10,,,,,,,,,,
06,11,f,l,fq,al,f,q,v,,v,
06,12,r,b,gr,bm,g,r,w,vwyz,w,vx
06,13,h,,hs,c,h,s,x,,x,
06,14,t,d,it,d,i,t,y,,y,
06,15,k,p,ku,ep,k,u,z,vwyz,,vx
06,16,,,,,,,,,,
06,17,l,f,al,fq,a,a,v,,v,
06,18,b,r,bm,gr,b,b,w,vwyz,w,vx
06,19,n,h,cn,h,c,c,x,,x,
06,20,d,t,do,it,d,d,y,,y,
06,21,p,k,ep,ku,e,e,z,vwyz,,vx
06,22,,,,,,,,,,
06,23,,,,,,,,,,
06,24,q,a,fq,al,f,f,v,,v,
06,25,g,m,gr,bm,g,g,w,vwyz,w,vx
06,26,s,c,hs,c,h,h,x,,x,
06,27,i,,it,d,i,i,y,,y,
06,28,u,e,ku,ep,k,k,z,vwyz,,vx
06,29,,,,,,,,,,
06,30,,,,,,,,,,
07,1,a,q,al,fq,a,l,v,,v,
07,2,m,g,bm,gr,b,m,w,vwyz,w,vx
07,3,c,,cn,h,c,n,x,,x,
07,4,o,i,do,it,d,o,y,,y,
07,5,e,u,ep,ku,e,p,z,vwyz,,vx
07,6,,,,,,,,,,
07,7,,,,,,,,,,
07,8,f,l,fq,al,f,q,v,,v,
07,9,r,b,gr,bm,g,r,w,vwyz,w,vx
07,10,h,,hs,c,h,s,x,,x,
07,11,t,d,it,d,i,t,y,,y,
07,12,k,p,ku,ep,k,u,z,vwyz,,vx
07,13,,,,,,,,,,
07,14,,,,,,,,,,
07,15,l,f,al,fq,a,a,v,,v,
07,16,b,r,bm,gr,b,b,w,vwyz,w,vx
07,17,n,h,cn,h,c,c,x,,x,
07,18,d,t,do,it,d,d,y,,y,
07,19,p,k,ep,ku,e,e,z,vwyz,,vx
07,20,,,,,,,,,,
07,21,,,,,,,,,,
07,22,q,a,fq,al,f,f,v,,v,
07,23,g,m,gr,bm,g,g,w,vwyz,w,vx
07,24,s,c,hs,c,h,h,x,,x,
07,25,i,,it,d,i,i,y,,y,
07,26,u,e,ku,ep,k,k,z,vwyz,,vx
07,27,,,,,,,,,,
07,28,,,,,,,,,,
07,29,a,q,al,fq,a,l,v,,v,
07,30,m,g,bm,gr,b,m,w,vwyz,w,vx
07,31,c,,cn,h,c,n,x,,x,
08,1,o,i,do,it,d,o,y,,y,
08,2,e,u,ep,ku,e,p,z,vwyz,,vx
08,3,,,,,,,,,,
08,4,,,,,,,,,,
08,5,f,l,fq,al,f,q,v,,v,
08,6,r,b,gr,bm,g,r,w,vwyz,w,vx
08,7,h,,hs,c,h,s,x,,x,
08,8,t,d,it,d,i,t,y,,y,
08,9,k,p,ku,ep,k,u,z,vwyz,,vx
08,10,,,,,,,,,,
08,11,,,,,,,,,,
08,12,l,f,al,fq,a,a,v,,v,
08,13,b,r,bm,gr,b,b,w,vwyz,w,vx
08,14,n,h,cn,h,c,c,x,,x,
08,15,d,t,do,it,d,d,y,,y,
08,16,p,k,ep,ku,e,e,z,vwyz,,vx
08,17,,,,,,,,,,
08,18,,,,,,,,,,
08,19,q,a,fq,al,f,f,v,,v,
08,20,g,m,gr,bm,g,g,w,vwyz,w,vx
08,21,s,c,hs,c,h,h,x,,x,
08,22,i,,it,d,i,i,y,,y,
08,23,u,e,ku,ep,k,k,z,vwyz,,vx
08,24,,,,,,,,,,
08,25,,,,,,,,,,
08,26,a,q,al,fq,a,l,v,,v,
08,27,m,g,bm,gr,b,m,w,vwyz,w,vx
08,28,c,,cn,h,c,n,x,,x,
08,29,o,i,do,it,d,o,y,,y,
08,30,e,u,ep,ku,e,p,z,vwyz,,vx
08,31,,,,,,,,,,
09,1,,,,,,,,,,
09,2,f,l,fq,al,f,q,v,,v,
09,3,r,b,gr,bm,g,r,w,vwyz,w,vx
09,4,h,,hs,c,h,s,x,,x,
09,5,t,d,it,d,i,t,y,,y,
09,6,k,p,ku,ep,k,u,z,vwyz,,vx
09,7,,,,,,,,,,
09,8,,,,,,,,,,
09,9,l,f,al,fq,a,a,v,,v,
09,10,b,r,bm,gr,b,b,w,vwyz,w,vx
09,11,n,h,cn,h,c,c,x,,x,
09,12,d,t,do,it,d,d,y,,y,
09,13,p,k,ep,ku,e,e,z,vwyz,,vx
09,14,,,,,,,,,,
09,15,,,,,,,,,,
09,16,q,a,fq,al,f,f,v,,v,
09,17,g,m,gr,bm,g,g,w,vwyz,w,vx
09,18,s,c,hs,c,h,h,x,,x,
09,19,i,,it,d,i,i,y,,y,
09,20,u,e,ku,ep,k,k,z,vwyz,,vx
09,21,,,,,,,,,,
09,22,,,,,,,,,,
09,23,a,q,al,fq,a,l,v,,v,
09,24,m,g,bm,gr,b,m,w,vwyz,w,vx
09,25,c,,cn,h,c,n,x,,x,
09,26,o,i,do,it,d,o,y,,y,
09,27,e,u,ep,ku,e,p,z,vwyz,,vx
09,28,,,,,,,,,,
09,29,,,,,,,,,,
09,30,f,l,fq,al,f,q,v,,v,
10,1,r,b,gr,bm,g,r,w,vwyz,w,vx
10,2,h,,hs,c,h,s,x,,x,
10,3,,,,,,,,,,
10,4,t,d,it,d,i,t,y,,y,
10,5,k,p,ku,ep,k,u,z,vwyz,,vx
10,6,,,,,,,,,,
10,7,l,f,al,fq,a,a,v,,v,
10,8,b,r,bm,gr,b,b,w,vwyz,w,vx
10,9,n,h,cn,h,c,c,x,,x,
10,10,d,t,do,it,d,d,y,,y,
10,11,p,k,ep,ku,e,e,z,vwyz,,vx
10,12,,,,,,,,,,
10,13,,,,,,,,,,
10,14,q,a,fq,al,f,f,v,,v,
10,15,g,m,gr,bm,g,g,w,vwyz,w,vx
10,16,s,c,hs,c,h,h,x,,x,
10,17,i,,it,d,i,i,y,,y,
10,18,u,e,ku,ep,k,k,z,vwyz,,vx
10,19,,,,,,,,,,
10,20,,,,,,,,,,
10,21,a,q,al,fq,a,l,v,,v,
10,22,m,g,bm,gr,b,m,w,vwyz,w,vx
10,23,c,,cn,h,c,n,x,,x,
10,24,o,i,do,it,d,o,y,,y,
