month,day,black-four,green-four,black,green,yellow,blue
01,1,,,,,,
01,2,l,f,al,f,a,a
01,3,b,,bm,g,b,b
01,4,n,h,cn,h,c,cm
01,5,d,,do,i,d,d
01,6,p,e,ep,k,e,e
01,7,,,,,,
01,8,,,,,,
01,9,q,a,fq,a,f,f
01,10,g,,gr,b,g,g
01,11,s,c,hs,c,h,h
01,12,i,,it,d,i,iu
01,13,u,e,ku,e,k,k
01,14,,,,,,
01,15,,,,,,
01,16,a,,al,f,a,l
01,17,m,g,bm,g,b,m
01,18,c,,cn,h,c,n
01,19,o,h,do,i,d,o
01,20,e,,ep,k,e,p
01,21,,,,,,
01,22,,,,,,
01,23,f,,fq,a,f,q
01,24,r,b,gr,b,g,r
01,25,h,,hs,c,h,s
01,26,t,d,it,d,i,t
01,27,k,,ku,e,k,u
01,28,,,,,,
01,29,,,,,,
01,30,l,f,al,f,a,a
01,31,b,,bm,g,b,b
02,1,n,h,cn,h,c,c
02,2,d,,do,i,d,d
02,3,p,e,ep,k,e,e
02,4,,,,,,
02,5,,,,,,
02,6,q,a,fq,a,f,f
02,7,g,,gr,b,g,g
02,8,s,c,hs,c,h,h
02,9,i,,it,d,i,i
02,10,u,e,ku,e,k,k
02,11,,,,,,
02,12,,,,,,
02,13,a,,al,f,a,l
02,14,m,g,bm,g,b,m
02,15,c,,cn,h,c,n
02,16,o,h,do,i,d,o
02,17,e,,ep,k,e,p
02,18,,,,,,
02,19,,,,,,
02,20,f,,fq,a,f,q
02,21,r,b,gr,b,g,r
02,22,h,,hs,c,h,s
02,23,t,d,it,d,i,t
02,24,k,,ku,e,k,u
02,25,,,,,,
02,26,,,,,,
02,27,l,f,al,f,a,a
02,28,b,,bm,g,b,b
03,1,n,h,cn,h,c,c
03,2,d,,do,i,d,d
03,3,p,e,ep,k,e,e
03,4,,,,,,
03,5,,,,,,
03,6,q,a,fq,a,f,f
03,7,g,,gr,b,g,g
03,8,s,c,hs,c,h,h
03,9,i,,it,d,i,i
03,10,u,e,ku,e,k,k
03,11,,,,,,
03,12,,,,,,
03,13,a,,al,f,a,l
03,14,m,g,bm,g,b,m
03,15,c,,cn,h,c,n
03,16,o,h,do,i,d,o
03,17,e,,ep,k,e,p
03,18,,,,,,
03,19,,,,,,
03,20,f,,fq,a,f,q
03,21,r,b,gr,b,g,r
03,22,h,,hs,c,h,s
03,23,t,d,it,d,i,t
03,24,k,,ku,e,k,u
03,25,,,,,,
03,26,,,,,,
03,27,l,f,al,f,a,a
03,28,b,,bm,g,b,b
03,29,n,h,cn,h,c,c
03,30,d,,do,i,d,d
03,31,p,e,ep,k,e,e
04,1,,,,,,
04,2,,,,,,
04,3,q,a,fq,a,f,f
04,4,g,,gr,b,g,g
04,5,s,c,hs,c,h,h
04,6,i,,it,d,i,i
04,7,u,e,ku,e,k,k
04,8,,,,,,
04,9,,,,,,
04,10,a,,al,f,a,l
04,11,m,g,bm,g,b,m
04,12,c,,cn,h,c,n
04,13,o,h,do,i,d,o
04,14,,,,,,
04,15,e,,ep,k,e,p
04,16,,,,,,
04,17,,,,,,
04,18,f,,fq,a,f,q
04,19,r,b,gr,b,g,r
04,20,h,,hs,c,h,s
04,21,t,d,it,d,i,t
04,22,k,,ku,e,k,u
04,23,,,,,,
04,24,l,f,al,f,a,a
04,25,b,,bm,g,b,b
04,26,n,h,cn,h,c,c
04,27,d,,do,i,d,d
04,28,p,e,ep,k,e,e
04,29,,,,,,
04,30,,,,,,
05,1,,,,,,
05,2,q,a,fq,a,f,f
05,3,g,,gr,b,g,g
05,4,s,c,hs,c,h,h
05,5,i,,it,d,i,i
05,6,u,e,ku,e,k,k
05,7,,,,,,
05,8,a,,al,f,a,l
05,9,m,g,bm,g,b,m
05,10,c,,cn,h,c,n
05,11,o,h,do,i,d,o
05,12,e,,ep,k,e,p
05,13,,,,,,
05,14,,,,,,
05,15,f,,fq,a,f,q
05,16,r,b,gr,b,g,r
05,17,h,,hs,c,h,s
05,18,t,d,it,d,i,t
05,19,k,,ku,e,k,u
05,20,,,,,,
05,21,,,,,,
05,22,l,f,al,f,a,a
05,23,b,,bm,g,b,b
05,24,n,h,cn,h,c,c
05,25,,,,,,
05,26,d,,do,i,d,d
05,27,p,e,ep,k,e,e
05,28,,,,,,
05,29,q,a,fq,a,f,f
05,30,g,,gr,b,g,g
05,31,s,c,hs,c,h,h
06,1,i,,it,d,i,i
