month,day,black-four,green-four,black,green,yellow,blue,black-weekly,black-twice,green-weekly,green-twice
01,1,,,,,,,,,,
01,2,s,c,hs,cn,h,m,,,,
01,3,i,o,it,do,i,n,,,,
01,4,,,,,,,,,,
01,5,u,e,ku,ep,k,o,,,,
01,6,a,f,al,fq,a,p,,,,
01,7,m,r,bm,gr,b,q,,,,
01,8,c,h,cn,hs,c,r,,,,
01,9,o,t,do,it,d,s,,,,
01,10,e,k,ep,ku,e,t,,,,
01,11,,,,,,,,,,
01,12,f,l,fq,al,f,a,,,,
01,13,r,b,gr,bm,g,b,,,,
01,14,h,n,hs,cn,h,c,,,,
01,15,t,d,it,do,i,d,,,,
01,16,k,p,ku,ep,k,e,,,,
01,17,,,,,,,,,,
01,18,,,,,,,,,,
01,19,l,q,al,fq,a,f,,,,
01,20,b,g,bm,gr,b,g,,,,
01,21,n,s,cn,hs,d,h,,,,
01,22,d,i,do,it,d,i,,,,
01,23,p,u,ep,ku,e,j,,,,
01,24,,,,,,,,,,
01,25,,,,,,,,,,
01,26,q,a,fq,al,f,k,,,,
01,27,g,m,gr,bm,g,l,,,,
01,28,s,c,hs,cn,h,m,,,,
01,29,i,o,it,do,i,n,,,,
01,30,u,e,ku,ep,k,o,,,,
01,31,,,,,,,,,,
02,1,,,,,,,,,,
02,2,a,f,al,fq,a,p,,,,
02,3,m,r,bm,gr,b,q,,,,
02,4,c,h,cn,hs,d,r,,,,
02,5,o,t,do,it,d,s,,,,
02,6,e,k,ep,ku,e,t,,,,
02,7,,,,,,,,,,
02,8,,,,,,,,,,
02,9,f,l,fq,al,f,a,,,,
02,10,r,b,gr,bm,g,b,,,,
02,11,h,n,hs,cn,h,c,,,,
02,12,t,d,it,do,i,d,,,,
02,13,k,p,ku,ep,k,e,,,,
02,14,,,,,,,,,,
02,15,,,,,,,,,,
02,16,l,q,al,fq,a,f,,,,
02,17,b,g,bm,gr,b,g,,,,
02,18,n,s,cn,hs,d,h,,,,
02,19,d,i,do,it,d,i,,,,
02,20,p,u,ep,ku,e,j,,,,
02,21,,,,,,,,,,
02,22,,,,,,,,,,
02,23,q,a,fq,al,f,k,,,,
02,24,g,m,gr,bm,g,l,,,,
02,25,s,c,hs,cn,h,m,,,,
02,26,i,o,it,do,i,n,,,,
02,27,u,e,ku,ep,k,o,,,,
02,28,,,,,,,,,,
03,1,,,,,,,,,,
03,2,a,f,al,fq,a,p,,,,
03,3,m,r,bm,gr,b,q,,,,
03,4,c,h,cn,hs,d,r,,,,
03,5,o,t,do,it,d,s,,,,
03,6,e,k,ep,ku,e,t,,,,
03,7,,,,,,,,,,
03,8,,,,,,,,,,
03,9,f,l,fq,al,f,a,,,,
03,10,r,b,gr,bm,g,b,,,,
03,11,h,n,hs,cn,h,c,,,,
03,12,t,d,it,do,i,d,,,,
03,13,k,p,ku,ep,k,e,,,,
03,14,,,,,,,,,,
03,15,,,,,,,,,,
03,16,l,q,al,fq,a,f,,,,
03,17,b,g,bm,gr,b,g,,,,
03,18,n,s,cn,hs,d,h,,,,
03,19,d,i,do,it,d,i,,,,
03,20,p,u,ep,ku,e,j,,,,
03,21,,,,,,,,,,
03,22,,,,,,,,,,
03,23,q,a,fq,al,f,k,,,,
03,24,g,m,gr,bm,g,l,,,,
03,25,s,c,hs,cn,h,m,,,,
03,26,i,o,it,do,i,n,,,,
03,27,u,e,ku,ep,k,o,,,,
03,28,,,,,,,,,,
03,29,,,,,,,,,,
03,30,a,f,al,fq,a,p,,,,
03,31,m,r,bm,gr,b,q,,,,
04,1,c,h,cn,hs,d,r,,,,
04,2,o,t,do,it,d,s,,,,
04,3,,,,,,,,,,
04,4,e,k,ep,ku,e,t,,,,
04,5,,,,,,,,,,
04,6,,,,,,,,,,
04,7,f,l,fq,al,f,a,,,,
04,8,r,b,gr,bm,g,b,,,,
04,9,h,n,hs,cn,h,c,,,,
04,10,t,d,it,do,i,d,,,,
04,11,k,p,ku,ep,k,e,,,,
04,12,,,,,,,,,,
04,13,l,q,al,fq,a,f,,,,
04,14,b,g,bm,gr,b,g,,,,
04,15,n,s,cn,hs,d,h,,,,
04,16,d,i,do,it,d,i,,,,
04,17,p,u,ep,ku,e,j,,,,
04,18,,,,,,,,,,
04,19,,,,,,,,,,
04,20,q,a,fq,al,f,k,,,,
04,21,g,m,gr,bm,g,l,,,,
04,22,s,c,hs,cn,h,m,,,,
04,23,i,o,it,do,i,n,,,,
04,24,u,e,ku,ep,k,o,,,,
04,25,,,,,,,,,,
04,26,,,,,,,,,,
04,27,a,f,al,fq,a,p,,,,
