day,black-four,green-four,black,green,yellow,blue
1,,i,d,i,d,o
2,e,,e,k,e,p
3,,,,,,
4,,,,,,
5,f,,f,a,f,q
6,,b,g,b,g,r
7,h,,h,c,h,s
8,,d,i,d,i,t
9,k,,k,e,k,u
10,,,,,,
11,,,,,,
12,,f,a,f,a,a
13,b,,b,g,b,b
14,,h,c,h,c,c
15,d,,d,i,d,d
16,,k,e,k,e,e
17,,,,,,
18,,,,,,
19,,a,f,a,f,f
20,g,,g,b,g,g
21,,c,h,c,h,h
22,i,,i,d,i,i
23,,e,k,e,k,k
24,,,,,,
25,,,,,,
26,a,,a,f,a,l
27,,g,b,g,b,m
28,c,,c,h,c,n
29,,i,d,i,d,o
30,e,,e,k,e,p
