day,black-four,green-four,black,green,yellow,blue
1,b,,b,g,b,b
2,,h,c,h,c,c
3,d,,d,i,d,d
4,,k,e,k,e,e
5,,,,,,
6,,,,,,
7,,a,f,a,f,f
8,g,,g,b,g,g
9,,c,h,c,h,h
10,i,,i,d,i,i
11,,e,k,e,k,k
12,,,,,,
13,,,,,,
14,a,,a,f,a,l
15,,g,b,g,b,m
16,c,,c,h,c,n
17,,i,d,i,d,o
18,e,,e,k,e,p
19,,,,,,
20,,,,,,
21,f,,f,a,f,q
22,,b,g,b,g,r
23,h,,h,c,h,s
24,,d,i,d,i,t
25,,,,,,
26,k,,k,e,k,u
27,,,,,,
28,,,,,,
29,,f,a,f,a,a
30,b,,b,g,b,b
31,,h,c,h,c,c
