day,black-four,green-four,black,green,yellow,blue
1,,d,i,d,i,t
2,k,,k,e,k,u
3,,,,,,
4,,,,,,
5,,f,a,f,a,a
6,b,,b,g,b,b
7,,h,c,h,c,c
8,d,,d,i,d,d
9,,k,e,k,e,e
10,,,,,,
11,,,,,,
12,,a,f,a,f,f
13,g,,g,b,g,g
14,,c,h,c,h,h
15,i,,i,d,i,i
16,,e,k,e,k,k
17,,,,,,
18,,,,,,
19,a,,a,f,a,l
20,,g,b,g,b,m
21,c,,c,h,c,n
22,,i,d,i,d,o
23,e,,e,k,e,p
24,,,,,,
25,,,,,,
26,,,,,,
27,f,,f,a,f,q
28,,b,g,b,g,r
29,h,,h,c,h,s
30,,d,i,d,i,t
31,k,,k,e,k,u
