day,black-four,green-four,black,green,yellow,blue
1,,f,a,f,a,a
2,b,,b,g,b,b
3,,h,c,h,c,c
4,d,,d,i,d,d
5,,k,e,k,e,e
6,,,,,,
7,,,,,,
8,,a,f,a,f,f
9,g,,g,b,g,g
10,,c,h,c,h,h
11,i,,i,d,i,i
12,,e,k,e,k,k
13,,,,,,
14,,,,,,
15,a,,a,f,a,l
16,,g,b,g,b,m
17,c,,c,h,c,n
18,,i,d,i,d,o
19,e,,e,k,e,p
20,,,,,,
21,,,,,,
22,f,,f,a,f,q
23,,b,g,b,g,r
24,h,,h,c,h,s
25,,d,i,d,i,t
26,k,,k,e,k,u
27,,,,,,
28,,,,,,
29,,f,a,f,a,a
