month,day,black-four,green-four,black,green,yellow,blue,black-weekly,black-twice,green-weekly,green-twice
01,1,,,,,,,,,,
01,2,p,k,ep,ku,e,e,z,,,
01,3,q,a,fq,al,f,f,v,,v,
01,4,g,m,gr,bm,g,g,w,,w,
01,5,s,c,hs,cn,h,h,x,,x,
01,6,i,o,it,do,i,i,y,,y,
01,7,,,,,,,,,,
01,8,u,e,ku,ep,k,k,z,,,
01,9,a,q,al,fq,a,l,v,,v,
01,10,m,g,bm,gr,b,m,w,,w,
01,11,c,s,cn,hs,c,n,x,,x,
01,12,o,i,do,it,d,o,y,,y,
01,13,e,u,ep,ku,e,p,z,,,
01,14,,,,,,,,,,
01,15,f,l,fq,al,f,q,v,,v,
01,16,r,b,gr,bm,g,r,w,,w,
01,17,h,n,hs,cn,h,s,x,,x,
01,18,t,d,it,do,i,t,y,,y,
01,19,k,p,ku,ep,k,u,z,,,
01,20,,,,,,,,,,
01,21,,,,,,,,,,
01,22,l,f,al,fq,a,a,v,,v,
01,23,b,r,bm,gr,b,b,w,,w,
01,24,n,h,cn,hs,c,c,x,,x,
01,25,d,t,do,it,d,d,y,,y,
01,26,p,k,ep,ku,e,e,z,,,
01,27,,,,,,,,,,
01,28,,,,,,,,,,
01,29,q,a,fq,al,f,f,v,,v,
01,30,g,m,gr,bm,g,g,w,,w,
01,31,s,c,hs,cn,h,h,x,,x,
02,1,i,o,it,do,i,i,y,,y,
02,2,u,e,ku,ep,k,k,z,,,
02,3,,,,,,,,,,
02,4,,,,,,,,,,
02,5,a,q,al,fq,a,l,v,,v,
02,6,m,g,bm,gr,b,m,w,,w,
02,7,c,s,cn,hs,c,n,x,,x,
02,8,o,i,do,it,d,o,y,,y,
02,9,e,u,ep,ku,e,p,z,,,
02,10,,,,,,,,,,
02,11,,,,,,,,,,
02,12,f,l,fq,al,f,q,v,,v,
02,13,r,b,gr,bm,g,r,w,,w,
02,14,h,n,hs,cn,h,s,x,,x,
02,15,t,d,it,do,i,t,y,,y,
02,16,k,p,ku,ep,k,u,z,,,
02,17,,,,,,,,,,
02,18,,,,,,,,,,
02,19,l,f,al,fq,a,a,v,,v,
02,20,b,r,bm,gr,b,b,w,,w,
02,21,n,h,cn,hs,c,c,x,,x,
02,22,d,t,do,it,d,d,y,,y,
02,23,p,k,ep,ku,e,e,z,,,
02,24,,,,,,,,,,
02,25,,,,,,,,,,
02,26,q,a,fq,al,f,f,v,,v,
02,27,g,m,gr,bm,g,g,w,,w,
02,28,s,c,hs,cn,h,h,x,,x,
02,29,i,o,it,do,i,i,y,,y,
03,1,u,e,ku,ep,k,k,z,,,
03,2,,,,,,,,,,
03,3,,,,,,,,,,
03,4,a,q,al,fq,a,l,v,,v,
03,5,m,g,bm,gr,b,m,w,,w,
03,6,c,s,cn,hs,c,n,x,,x,
03,7,o,i,do,it,d,o,y,,y,
03,8,,,,,,,,,,
03,9,e,u,ep,ku,e,p,z,,,
03,10,,,,,,,,,,
03,11,f,l,fq,al,f,q,v,,v,
03,12,r,b,gr,bm,g,r,w,,w,
03,13,h,n,hs,cn,h,s,x,,x,
03,14,t,d,it,do,i,t,y,,y,
03,15,k,p,ku,ep,k,u,z,,,
03,16,,,,,,,,,,
03,17,,,,,,,,,,
03,18,l,f,al,fq,a,a,v,,v,
03,19,b,r,bm,gr,b,b,w,,w,
03,20,n,h,cn,hs,c,c,x,,x,
03,21,d,t,do,it,d,d,y,,y,
03,22,p,k,ep,ku,e,e,z,,,
03,23,,,,,,,,,,
03,24,,,,,,,,,,
03,25,q,a,fq,al,f,f,v,,v,
03,26,g,m,gr,bm,g,g,w,,w,
03,27,s,c,hs,cn,h,h,x,,x,
03,28,i,o,it,do,i,i,y,,y,
03,29,,,,,,,,,,
03,30,u,e,ku,ep,k,k,z,,,
03,31,,,,,,,,,,
04,1,,,,,,,,,,
04,2,a,q,al,fq,a,l,v,,v,
04,3,m,g,bm,gr,b,m,w,,w,
04,4,c,s,cn,hs,c,n,x,,x,
04,5,o,i,do,it,d,o,y,,y,
04,6,e,u,ep,ku,e,p,z,,,
04,7,,,,,,,,,,
04,8,f,l,fq,al,f,q,v,,v,
04,9,r,b,gr,bm,g,r,w,,w,
04,10,h,n,hs,cn,h,s,x,,x,
04,11,t,d,it,do,i,t,y,,y,
04,12,k,p,ku,ep,k,u,z,,,
04,13,,,,,,,,,,
04,14,,,,,,,,,,
04,15,l,f,al,fq,a,a,v,,v,
04,16,b,r,bm,gr,b,b,w,,w,
04,17,n,h,cn,hs,c,c,x,,x,
04,18,d,t,do,it,d,d,y,,y,
04,19,p,k,ep,ku,e,e,z,,,
04,20,,,,,,,,,,
04,21,,,,,,,,,,
04,22,q,a,fq,al,f,f,v,,v,
04,23,g,m,gr,bm,g,g,w,,w,
04,24,s,c,hs,cn,h,h,x,,x,
04,25,i,o,it,do,i,i,y,,y,
04,26,u,e,ku,ep,k,k,z,,,
04,27,,,,,,,,,,
04,28,,,,,,,,,,
04,29,a,q,al,fq,a,l,v,,v,
04,30,m,g,bm,gr,b,m,w,,w,
05,1,,,,,,,,,,
05,2,c,s,cn,hs,c,n,x,,x,
05,3,o,i,do,it,d,o,y,,y,
05,4,e,u,ep,ku,e,p,z,,,
05,5,,,,,,,,,,
05,6,f,l,fq,al,f,q,v,,v,
05,7,r,b,gr,bm,g,r,w,,w,
05,8,h,n,hs,cn,h,s,x,,x,
05,9,,,,,,,,,,
05,10,t,d,it,do,i,t,y,,y,
05,11,k,p,ku,ep,k,u,z,,,
05,12,,,,,,,,,,
05,13,l,f,al,fq,a,a,v,,v,
05,14,b,r,bm,gr,b,b,w,,w,
05,15,n,h,cn,hs,c,c,x,,x,
05,16,d,t,do,it,d,d,y,,y,
05,17,p,k,ep,ku,e,e,z,,,
05,18,,,,,,,,,,
05,19,,,,,,,,,,
05,20,,,,,,,,,,
05,21,q,a,fq,al,f,f,v,,v,
05,22,g,m,gr,bm,g,g,w,,w,
05,23,s,c,hs,cn,h,h,x,,x,
05,24,i,o,it,do,i,i,y,,y,
05,25,u,e,ku,ep,k,k,z,,,
05,26,,,,,,,,,,
05,27,a,q,al,fq,a,l,v,,v,
05,28,m,g,bm,gr,b,m,w,,w,
05,29,c,s,cn,hs,c,n,x,,x,
05,30,o,i,do,it,d,o,y,,y,
05,31,e,u,ep,ku,e,p,z,,,
06,1,,,,,,,,,,
06,2,,,,,,,,,,
06,3,f,l,fq,al,f,q,v,,v,
06,4,r,b,gr,bm,g,r,w,,w,
06,5,h,n,hs,cn,h,s,x,,x,
06,6,t,d,it,do,i,t,y,,y,
06,7,k,p,ku,ep,k,u,z,,,
06,8,,,,,,,,,,
06,9,,,,,,,,,,
06,10,l,f,al,fq,a,a,v,,v,
06,11,b,r,bm,gr,b,b,w,,w,
06,12,n,h,cn,hs,c,c,x,,x,
06,13,d,t,do,it,d,d,y,,y,
06,14,p,k,ep,ku,e,e,z,,,
06,15,,,,,,,,,,
06,16,,,,,,,,,,
06,17,q,a,fq,al,f,f,v,,v,
06,18,g,m,gr,bm,g,g,w,,w,
06,19,s,c,hs,cn,h,h,x,,x,
06,20,i,o,it,do,i,i,y,,y,
06,21,u,e,ku,ep,k,k,z,,,
06,22,,,,,,,,,,
06,23,,,,,,,,,,
06,24,a,q,al,fq,a,l,v,,v,
06,25,m,g,bm,gr,b,m,w,,w,
06,26,c,s,cn,hs,c,n,x,,x,
06,27,o,i,do,it,d,o,y,,y,
06,28,e,u,ep,ku,e,p,z,,,
06,29,,,,,,,,,,
06,30,,,,,,,,,,
07,1,f,l,fq,al,f,q,v,,v,
07,2,r,b,gr,bm,g,r,w,,w,
07,3,h,n,hs,cn,h,s,x,,x,
07,4,t,d,it,do,i,t,y,,y,
07,5,k,p,ku,ep,k,u,z,,,
07,6,,,,,,,,,,
07,7,,,,,,,,,,
07,8,l,f,al,fq,a,a,v,,v,
07,9,b,r,bm,gr,b,b,w,,w,
07,10,n,h,cn,hs,c,c,x,,x,
07,11,d,t,do,it,d,d,y,,y,
07,12,p,k,ep,ku,e,e,z,,,
07,13,,,,,,,,,,
07,14,,,,,,,,,,
07,15,q,a,fq,al,f,f,v,,v,
07,16,g,m,gr,bm,g,g,w,,w,
07,17,s,c,hs,cn,h,h,x,,x,
07,18,i,o,it,do,i,i,y,,y,
07,19,u,e,ku,ep,k,k,z,,,
07,20,,,,,,,,,,
07,21,,,,,,,,,,
07,22,a,q,al,fq,a,l,v,,v,
07,23,m,g,bm,gr,b,m,w,,w,
07,24,c,s,cn,hs,c,n,x,,x,
07,25,o,i,do,it,d,o,y,,y,
07,26,e,u,ep,ku,e,p,z,,,
07,27,,,,,,,,,,
07,28,,,,,,,,,,
07,29,f,l,fq,al,f,q,v,,v,
07,30,r,b,gr,bm,g,r,w,,w,
07,31,h,n,hs,cn,h,s,x,,x,
08,1,t,d,it,do,i,t,y,,y,
08,2,k,p,ku,ep,k,u,z,,,
08,3,,,,,,,,,,
08,4,,,,,,,,,,
08,5,l,f,al,fq,a,a,v,,v,
08,6,b,r,bm,gr,b,b,w,,w,
08,7,n,h,cn,hs,c,c,x,,x,
08,8,d,t,do,it,d,d,y,,y,
08,9,p,k,ep,ku,e,e,z,,,
08,10,,,,,,,,,,
08,11,,,,,,,,,,
08,12,q,a,fq,al,f,f,v,,v,
08,13,g,m,gr,bm,g,g,w,,w,
08,14,s,c,hs,cn,h,h,x,,x,
08,15,i,o,it,do,i,i,y,,y,
08,16,u,e,ku,ep,k,k,z,,,
08,17,,,,,,,,,,
08,18,,,,,,,,,,
08,19,a,q,al,fq,a,l,v,,v,
08,20,m,g,bm,gr,b,m,w,,w,
08,21,c,s,cn,hs,c,n,x,,x,
08,22,o,i,do,it,d,o,y,,y,
08,23,e,u,ep,ku,e,p,z,,,
08,24,,,,,,,,,,
08,25,,,,,,,,,,
08,26,f,l,fq,al,f,q,v,,v,
08,27,r,b,gr,bm,g,r,w,,w,
08,28,h,n,hs,cn,h,s,x,,x,
08,29,t,d,it,do,i,t,y,,y,
08,30,k,p,ku,ep,k,u,z,,,
08,31,,,,,,,,,,
09,1,,,,,,,,,,
09,2,l,f,al,fq,a,a,v,,v,
09,3,b,r,bm,gr,b,b,w,,w,
09,4,n,h,cn,hs,c,c,x,,x,
09,5,d,t,do,it,d,d,y,,y,
09,6,p,k,ep,ku,e,e,z,,,
09,7,,,,,,,,,,
09,8,,,,,,,,,,
09,9,q,a,fq,al,f,f,v,,v,
09,10,g,m,gr,bm,g,g,w,,w,
09,11,s,c,hs,cn,h,h,x,,x,
09,12,i,o,it,do,i,i,y,,y,
09,13,u,e,ku,ep,k,k,z,,,
09,14,,,,,,,,,,
09,15,,,,,,,,,,
09,16,a,q,al,fq,a,l,v,,v,
09,17,m,g,bm,gr,b,m,w,,w,
09,18,c,s,cn,hs,c,n,x,,x,
09,19,o,i,do,it,d,o,y,,y,
09,20,e,u,ep,ku,e,p,z,,,
09,21,,,,,,,,,,
09,22,,,,,,,,,,
09,23,f,l,fq,al,f,q,v,,v,
09,24,r,b,gr,bm,g,r,w,,w,
09,25,h,n,hs,cn,h,s,x,,x,
09,26,t,d,it,do,i,t,y,,y,
09,27,k,p,ku,ep,k,u,z,,,
09,28,,,,,,,,,,
09,29,,,,,,,,,,
09,30,l,f,al,fq,a,a,v,,v,
10,1,b,r,bm,gr,b,b,w,,w,
10,2,n,h,cn,hs,c,c,x,,x,
10,3,,,,,,,,,,
10,4,d,t,do,it,d,d,y,,y,
10,5,p,k,ep,ku,e,e,z,,,
10,6,,,,,,,,,,
10,7,q,a,fq,al,f,f,v,,v,
10,8,g,m,gr,bm,g,g,w,,w,
10,9,s,c,hs,cn,h,h,x,,x,
10,10,i,o,it,do,i,i,y,,y,
10,11,u,e,ku,ep,k,k,z,,,
10,12,,,,,,,,,,
10,13,,,,,,,,,,
10,14,a,q,al,fq,a,l,v,,v,
10,15,m,g,bm,gr,b,m,w,,w,
10,16,c,s,cn,hs,c,n,x,,x,
10,17,o,i,do,it,d,o,y,,y,
10,18,e,u,ep,ku,e,p,z,,,
10,19,,,,,,,,,,
10,20,,,,,,,,,,
10,21,f,l,fq,al,f,q,v,,v,
10,22,r,b,gr,bm,g,r,w,,w,
10,23,h,n,hs,cn,h,s,x,,x,
10,24,t,d,it,do,i,t,y,,y,
10,25,k,p,ku,ep,k,u,z,,,
10,26,,,,,,,,,,
10,27,,,,,,,,,,
10,28,l,f,al,fq,a,a,v,,v,
10,29,b,r,bm,gr,b,b,w,,w,
10,30,n,h,cn,hs,c,c,x,,x,
10,31,,,,,,,,,,
11,1,d,t,do,it,d,d,y,,y,
11,2,p,k,ep,ku,e,e,z,,,
11,3,,,,,,,,,,
11,4,q,a,fq,al,f,f,v,,v,
11,5,g,m,gr,bm,g,g,w,,w,
11,6,s,c,hs,cn,h,h,x,,x,
11,7,i,o,it,do,i,i,y,,y,
11,8,u,e,ku,ep,k,k,z,,,
11,9,,,,,,,,,,
11,10,,,,,,,,,,
11,11,a,q,al,fq,a,l,v,,v,
11,12,m,g,bm,gr,b,m,w,,w,
11,13,c,s,cn,hs,c,n,x,,x,
11,14,o,i,do,it,d,o,y,,y,
11,15,e,u,ep,ku,e,p,z,,,
11,16,,,,,,,,,,
11,17,,,,,,,,,,
11,18,f,l,fq,al,f,q,v,,v,
11,19,r,b,gr,bm,g,r,w,,w,
11,20,h,n,hs,cn,h,s,x,,x,
11,21,t,d,it,do,i,t,y,,y,
11,22,k,p,ku,ep,k,u,z,,,
11,23,,,,,,,,,,
11,24,,,,,,,,,,
11,25,l,f,al,fq,a,a,v,,v,
11,26,b,r,bm,gr,b,b,w,,w,
11,27,n,h,cn,hs,c,c,x,,x,
11,28,d,t,do,it,d,d,y,,y,
11,29,p,k,ep,ku,e,e,z,,,
11,30,,,,,,,,,,
12,1,,,,,,,,,,
12,2,q,a,fq,al,f,f,v,,v,
12,3,g,m,gr,bm,g,g,w,,w,
12,4,s,c,hs,cn,h,h,x,,x,
12,5,i,o,it,do,i,i,y,,y,
12,6,u,e,ku,ep,k,k,z,,,
12,7,,,,,,,,,,
12,8,,,,,,,,,,
12,9,a,q,al,fq,a,l,v,,v,
12,10,m,g,bm,gr,b,m,w,,w,
12,11,c,s,cn,hs,c,n,x,,x,
12,12,o,i,do,it,d,o,y,,y,
12,13,e,u,ep,ku,e,p,z,,,
12,14,,,,,,,,,,
12,15,,,,,,,,,,
12,16,f,l,fq,al,f,q,v,,v,
12,17,r,b,gr,bm,g,r,w,,w,
12,18,h,n,hs,cn,h,s,x,,x,
12,19,t,d,it,do,i,t,y,,y,
12,20,k,p,ku,ep,k,u,z,,,
12,21,,,,,,,,,,
12,22,,,,,,,,,,
12,23,l,f,al,fq,a,a,v,,v,
12,24,b,r,bm,gr,b,b,w,,w,
12,25,,,,,,,,,,
12,26,,,,,,,,,,
12,27,n,h,cn,hs,c,c,x,,x,
12,28,d,t,do,it,d,d,y,,y,
12,29,,,,,,,,,,
12,30,p,k,ep,ku,e,e,z,,,
12,31,q,a,fq,al,f,f,v,,v,
