day,black-four,green-four,black,green,yellow,blue
1,,,,,,
2,,d,i,d,i,
3,,,,,,
4,k,,k,e,k,a
5,,f,a,f,a,b
6,b,,b,g,b,c
7,,h,c,h,c,d
8,d,,d,i,d,e
9,,k,e,k,e,
10,,,,,,
11,,a,f,a,f,f
12,g,,g,b,g,g
13,,c,h,c,h,h
14,i,,i,d,i,i
15,,e,k,e,k,k
16,,,,,,
17,,,,,,
18,a,,a,f,a,l
19,,g,b,g,b,m
20,c,,c,h,c,n
21,,i,d,i,d,o
22,e,,e,k,e,p
23,,,,,,
24,,,,,,
25,f,,f,a,f,q
26,,b,g,b,g,r
27,h,,h,c,h,s
28,,d,i,d,i,t
29,k,,k,e,k,u
30,,,,,,
31,,,,,,
